Name,total,predicted
3-METHYLPENTANE,14.67,16.3321200696673
"2,4-DIMETHYLHEXANE",14.65,16.3099235826425
benzene,18.41,20.5140747130657
toluene,18.32,19.9764232623285
STYRENE,19.07,19.3814386736919
O-XYLENE,18.2,19.5936153524532
tetralin,19.8,20.5221708885859
acetone,19.95,18.2083821714287
ACETOPHENONE,21.73,20.7691341554794
ETHYL ACETATE,18.48,18.6924670585466
Butyl acetate,17.59,17.755756215442
METHYL METHACRYLATE,17.92,18.762387329637
carbon dioxide,14.56,20.0771005058635
CHLOROFORM,18.94,18.8992046692917
DICHLOROMETHANE,20.79,19.9924364803417
VINYL CHLORIDE,17.77,19.2335895840573
chlorobenzene,19.61,21.6692491694279
phenol,24.63,23.9410606542689
ETHYLENE GLYCOL,33.7,29.1791196005818
propylene glycol,29.52,25.1896860098858
glycerol,34.12,30.4693829178325
formamide,36.65,27.3406753811175
dimethyl sulfoxide,26.75,20.2029171431696
acetic acid,21.35,23.9890519909084
ACRYLIC ACID,24.01,23.8523199243725
propionic acid,19.95,22.6698906500528
butyric acid,20.2,21.5120252275742
METHACRYLIC ACID,21,22.578245239164
octanoic acid,22.24,18.9434946705107
oleicacid,17.38,18.6151338504577
stearic acid,19.04,18.0729493984465
